ctime,pid,usesysid,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
946684800,27833,10,pgxc,10.87.3.232,37987,2015-08-21 14:32:11.02782-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:22.215595-04,f,Remote Subplan,active,2015-08-21 14:42:24.046034-04
946684800,27837,10,pgxc,10.87.8.227,54927,2015-08-21 14:32:11.039177-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:22.507809-04,f,Remote Subplan,active,2015-08-21 14:42:24.345581-04
946684800,27838,10,pgxc,10.92.9.245,54936,2015-08-21 14:32:11.045098-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:22.269776-04,f,Remote Subplan,active,2015-08-21 14:42:24.149655-04
946684800,27839,10,pgxc,10.87.3.232,37990,2015-08-21 14:32:11.045634-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:22.476176-04,f,Remote Subplan,active,2015-08-21 14:42:24.342757-04
946684800,27841,10,pgxc,10.87.8.227,54931,2015-08-21 14:32:11.057183-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:21.773573-04,f,Remote Subplan,active,2015-08-21 14:42:23.660256-04
946684800,27848,10,pgxc,10.87.3.232,38044,2015-08-21 14:32:11.236654-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:21.545255-04,f,Remote Subplan,active,2015-08-21 14:42:23.579756-04
946684800,27851,10,pgxc,10.92.9.245,54986,2015-08-21 14:32:11.249245-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:22.029991-04,f,Remote Subplan,active,2015-08-21 14:42:24.086864-04
946684800,27859,10,pgxc,10.87.3.185,34098,2015-08-21 14:32:11.275586-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:18.64603-04,f,Remote Subplan,active,2015-08-21 14:42:23.595972-04
946684800,27884,10,pgxc,10.87.3.232,38135,2015-08-21 14:32:11.710475-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:21.825963-04,f,Remote Subplan,active,2015-08-21 14:42:24.328635-04
946684800,27885,10,pgxc,10.92.9.245,55078,2015-08-21 14:32:11.710898-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:21.847309-04,f,Remote Subplan,active,2015-08-21 14:42:24.350091-04
946684800,27887,10,pgxc,10.87.8.227,55073,2015-08-21 14:32:11.724967-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:21.506835-04,f,Remote Subplan,idle in transaction,2015-08-21 14:42:24.314362-04
946684800,27889,10,pgxc,10.92.9.245,55114,2015-08-21 14:32:11.826927-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:21.669448-04,f,Remote Subplan,active,2015-08-21 14:42:24.287313-04
946684800,27892,10,pgxc,10.87.8.227,55103,2015-08-21 14:32:11.840204-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:21.723917-04,f,Remote Subplan,active,2015-08-21 14:42:24.351779-04
946684800,27893,10,pgxc,10.87.3.232,38170,2015-08-21 14:32:11.840563-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:21.669439-04,f,Remote Subplan,active,2015-08-21 14:42:24.299053-04
946684800,27897,10,pgxc,10.87.3.232,38180,2015-08-21 14:32:11.894124-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:21.585855-04,f,Remote Subplan,active,2015-08-21 14:42:24.266553-04
946684800,27898,10,pgxc,10.92.9.245,55125,2015-08-21 14:32:11.894329-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:21.620243-04,f,Remote Subplan,active,2015-08-21 14:42:24.296234-04
946684800,27899,10,pgxc,10.87.8.227,55119,2015-08-21 14:32:11.89454-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:21.622639-04,f,Remote Subplan,active,2015-08-21 14:42:24.296902-04
946684800,27903,10,pgxc,10.92.9.245,55160,2015-08-21 14:32:12.013209-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:21.170091-04,f,Remote Subplan,active,2015-08-21 14:42:23.973305-04
946684800,27904,10,pgxc,10.87.8.227,55151,2015-08-21 14:32:12.0158-04,2015-08-21 14:32:09.304348-04,2015-08-21 14:42:21.075595-04,f,Remote Subplan,active,2015-08-21 14:42:23.86491-04
